Ward_Name,Ward_No,Dominant_Source,Confidence
BRAHAM PURI,254,Unknown,No Data
DICHAON KALAN,139,Unknown,No Data
MOTI NAGAR,99,Unknown,No Data
MANGOLPURI,47,Unknown,No Data
LAJPAT NAGAR,155,Construction Activity,High
PALAM,145,Traffic Emission,High
KISHANGARH,172,Traffic Emission,High
VISHWASH NAGAR,226,Unknown,No Data
MADIPUR,104,Unknown,No Data
RAJENDER NAGAR,149,Traffic Emission,High
R. K. PURAM,167,Traffic Emission,High
SAFDARJANG ENCLAVE,163,Traffic Emission,High
HAUZ KHAS,164,Unknown,No Data
KOTLA MUBARAKPUR,158,Unknown,No Data
MANGLAPURI,130,Unknown,No Data
MANGOL PURI  NORTH,38,Unknown,No Data
TAGORE GARDEN,106,Industrial Pollution,High
LADOSARAI,169,Unknown,No Data
NARELA,1,Unknown,No Data
BHALASWA JAHAGIR PUR,5,Unknown,No Data
BURARI,7,Unknown,No Data
PATPARGANJ,220,Unknown,No Data
PANDAV NAGAR,224,Industrial Pollution,High
KISHAN KUNJ,221,Unknown,No Data
DHARAMPURA,233,Unknown,No Data
NEW USMANPUR,251,Unknown,No Data
BHAJANPURA,253,Unknown,No Data
NEHRU VIHAR,267,Unknown,No Data
SAID UL AJAIB,177,Unknown,No Data
SANGAM VIHAR,178,Unknown,No Data
MEHRAULI,170,Unknown,No Data
SANGAM VIHAR WEST,186,Unknown,No Data
TIGRI,179,Unknown,No Data
ZAKIR NAGAR,205,Industrial Pollution,High
NAJAFGARH,138,Unknown,No Data
JAHANGIR PURI -II,20,Unknown,No Data
KUNWAR SINGH NAGAR,121,Unknown,No Data
VIKAS NAGAR,124,Unknown,No Data
VIKAS PURI,123,Construction Activity,High
MAHAVIR NAGAR,113,Unknown,No Data
DARYAGANJ,153,Industrial Pollution,High
BALJIT NAGAR,93,Industrial Pollution,High
NILOTHI,32,Industrial Pollution,High
PRATAP VIHAR,36,Unknown,No Data
PREM NAGAR,33,Unknown,No Data
SHASTRI NAGAR,73,Unknown,No Data
VISHNU GARDEN,107,Unknown,No Data
TUKHMIR PUR,270,Unknown,No Data
RAJ NAGAR,142,Traffic Emission,High
