system:index,Date,Sentinel_AAI,Sentinel_NO2,.geo
21,2018-07-19,-1.0904282601276696,8.345630849064893E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2018-07-22,-0.4324450178087665,5.243266412024822E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2018-07-23,-0.4669934251281792,5.0195367754610025E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2018-07-24,-1.1269592948501925,8.191983545686348E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2018-07-28,0.22158479204015127,2.8427319695417878E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2018-07-29,0.11083490454784072,4.142633477325742E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2018-07-30,-0.7317741630350363,5.941985352041691E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2018-08-01,0.8448972064631013,4.659804173974995E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2018-08-02,0.8947622910531483,5.182317406195996E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2018-08-03,0.023046032680204984,4.822855024001798E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2018-08-04,0.2211763488104897,6.377909615920203E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2018-08-08,-0.9508276128753474,7.631146836340077E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2018-08-09,-1.1429400092516484,7.561206746326481E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2018-08-10,-1.327137364236149,5.541238415025353E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2018-08-11,-1.9057763087702195,6.157112256694643E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2018-08-14,-0.609631161682241,7.608025646510571E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2018-08-15,-0.1987336179501369,5.3683191267106985E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2018-08-16,-1.5238147815577885,5.4500294936588034E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2018-08-17,-0.5349780086148925,3.9270104089128445E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2018-08-18,-0.16447891870491285,5.087680683177693E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2018-08-20,-1.2264536368549903,8.670999496367034E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2018-08-21,-1.5833494012086384,6.268932353985674E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2018-08-24,-0.08947204351291724,3.785104459124371E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2018-08-25,-0.9590463299315911,1.0604910398013643E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
